stfips,county_name,state,fips,cat_rucc,a_teca_ln,a_112tca_ln,a_dbcp_ln,a_tdi_ln,a_2clacephen_ln,a_2np_ln,a_pnp_ln,a_ch3cn_ln,a_acetophenone_ln,a_acrolein_ln,a_acrylic_acid_ln,a_c3h3n_ln,a_sb_ln,a_benzidine_ln,a_benzyl_cl_ln,a_be_ln,a_biphenyl_ln,a_dehp_ln,a_bromoform_ln,a_cd_ln,a_cs2_ln,a_ccl4,a_cs_ln,a_cl_ln,a_c6h5cl_ln,a_chloroform_ln,a_chloroprene_ln,a_cr_ln,a_cresol_ln,a_cumene_ln,a_cn_ln,a_dbp_ln,a_diesel_ln,a_dmf_ln,a_me2_phthalate_ln,a_me2so4_ln,a_ech_ln,a_etacrylate_ln,a_etcl_ln,a_edb_ln,a_edc_ln,a_egly_ln,a_eox_ln,a_edcl2_ln,a_glycol_ethers_ln,a_hcb_ln,a_hcbd_ln,a_hccpd_ln,a_hexane_ln,a_n2h2_ln,a_hcl_ln,a_isophorone_ln,a_pb_ln,a_mn_ln,a_hg_ln,a_meoh_ln,a_mibk_ln,a_mma_ln,a_mecl_ln,a_mehydrazine_ln,a_mtbe_ln,a_nitrobenzene_ln,a_dma_ln,a_otoluidine_ln,a_pahpom_ln,a_pcp_ln,a_ph3_ln,a_p_ln,a_pcbs_ln,a_procl2_ln,a_proo_ln,a_quinoline_ln,a_se_ln,a_stryene_ln,a_cl4c2_ln,a_toluene_ln,a_c2hcl3_ln,a_etn_ln,a_vyac_ln,a_vycl_ln,a_11dce_ln,a_pm10_mean_ln,a_pm25_mean,a_so2_mean_ln,a_no2_mean_ln,a_o3_mean_ln,a_co_mean_ln,countyname,state_name
48317,Martin County,TX,48317,3,-6.01063,-13.48523,-13.61012,-10.59102,-31.70556,-17.64273,-13.68928,-7.407287,-14.31008,-5.320737,-17.66476,-7.390499,-13.26076,-16.62383,-12.74396,-10.98004,-8.600674,-0.2170873,-27.31621,-10.24448,-7.564748,0.4966759,-9.139509,-7.357481,-11.63942,-2.671918,-15.63658,-9.652853,-7.41748,-8.755002,-6.573994,-11.87301,-2.308893,-9.143635,-13.94579,-18.45267,-17.22433,-18.03769,-8.246092,-8.922153,-6.348632,-5.347806,-7.335999,-10.20985,-8.422324,-15.81347,-31.67657,-34.82646,-3.810533,-15.91257,-7.142221,-16.47658,-7.629503,-7.532639,-7.195126,-4.877322,-5.891774,-11.76234,0.2209548,-12.90415,-5.846567,-16.87738,-13.21804,-20.0768,-8.027465,-17.34397,-9.996082,-30.44861,-8.559837,-7.714035,-11.07046,-13.99924,-14.6443,-5.382828,-3.454825,-1.829158,-4.843781,-11.4173,-7.448524,-9.934003,-12.03002,4.534302,6.466411,1.859652,4.976624,7.501975,5.369738,Martin County,Texas
48319,Mason County,TX,48319,4,-5.461243,-12.12397,-12.58995,-15.26282,-31.70556,-16.4796,-16.43517,-6.23861,-15.06664,-5.469507,-20.4363,-6.881032,-22.35858,-16.77545,-19.16849,-11.13111,-12.00927,-0.2170426,-27.31621,-10.2492,-10.35886,0.4966695,-10.88644,-19.39981,-10.49866,-2.66029,-18.08604,-9.726943,-8.753172,-9.131654,-4.764972,-13.61592,-2.539843,-10.51232,-15.5505,-20.62236,-19.37985,-20.5792,-9.197637,-7.822394,-5.342377,-6.977938,-6.401961,-8.819555,-6.173836,-14.4347,-31.67657,-34.82646,-3.599314,-15.91287,-5.292023,-12.22567,-7.624741,-7.533144,-7.195141,-4.075199,-6.436079,-13.37779,0.2216269,-27.10555,-5.379478,-19.02106,-15.23512,-21.42376,-5.730746,-13.86624,-9.582278,-30.44861,-8.336437,-6.446934,-11.17396,-14.00043,-16.17087,-4.34762,-3.449926,-1.758163,-4.623721,-10.90166,-13.08512,-8.521667,-11.27795,4.942741,7.200779,2.960796,5.236793,7.526905,6.101105,Mason County,Texas
48321,Matagorda County,TX,48321,2,-5.444341,-10.12337,-9.952811,-8.067241,-17.11908,-15.93719,-12.31012,-5.695419,-10.797,-4.388933,-9.978055,-4.978505,-10.83787,-15.18634,-13.3643,-10.58516,-10.20748,-0.2169499,-15.40142,-10.05676,-8.502133,0.4967739,-8.092358,-5.455632,-10.03287,-2.63803,-12.50641,-9.24177,-7.435603,-7.494436,-4.88759,-8.672854,-1.200131,-6.814234,-11.68439,-15.02321,-9.350002,-13.40827,-6.078289,-7.178807,-4.398251,-3.157886,-4.254526,-8.811799,-5.771882,-14.27161,-13.78369,-34.82646,-2.290644,-13.38266,-4.99628,-10.98149,-7.482561,-7.501443,-7.179819,-2.971982,-3.883184,-9.518408,0.2257355,-16.19301,-3.211878,-15.26732,-11.45219,-16.72363,-6.562032,-15.13972,-9.493568,-19.50898,-8.494961,-6.300297,-8.687359,-11.63349,-12.12852,-5.246797,-3.042874,-0.4295086,-4.152373,-9.458682,-2.493122,-6.819928,-9.690703,6.860307,8.547294,5.072066,6.037673,7.980374,7.033508,Matagorda County,Texas
48323,Maverick County,TX,48323,2,-4.185363,-11.0714,-13.55789,-7.965619,-31.70556,-14.6991,-11.44733,-6.683195,-12.9627,-4.754428,-21.03264,-6.878933,-18.36821,-18.48789,-14.51342,-10.9368,-12.01035,-0.217086,-27.31621,-10.21714,-7.904296,0.4967421,-9.872099,-30.69147,-9.296812,-2.55854,-13.43608,-9.599644,-8.728881,-8.725283,-3.934269,-8.85428,-1.31574,-7.5448,-16.15789,-16.23878,-14.98677,-16.10362,-8.563631,-5.362359,-4.523806,-6.001702,-6.263512,-7.809385,-5.398427,-15.10178,-31.67657,-34.82646,-2.263148,-15.91289,-4.854037,-12.28658,-7.577184,-7.52281,-7.193425,-2.176719,-3.236483,-10.81098,0.2304912,-12.392,-4.217855,-14.62139,-10.74943,-16.1069,-6.337563,-21.2575,-9.355726,-30.44861,-8.474206,-5.267108,-9.812833,-14.0005,-11.89565,-5.100542,-2.961468,-0.1762063,-4.268534,-9.176188,-11.96828,-4.621493,-9.683294,4.870553,6.704723,1.744158,4.12597,7.809121,6.067961,Maverick County,Texas
48325,Medina County,TX,48325,1,-5.958928,-11.70754,-12.04877,-9.487137,-17.0225,-15.97192,-12.50226,-5.519362,-12.56649,-4.1993,-15.65547,-6.536791,-13.67015,-18.03341,-13.14335,-10.90708,-11.57103,-0.2170549,-15.30484,-10.16134,-8.078264,0.4967567,-10.33693,-7.537702,-9.628688,-2.627005,-13.35071,-9.599333,-6.875773,-8.389002,-4.911463,-10.32972,-1.587561,-8.48948,-12.49475,-14.84672,-15.08879,-15.78637,-7.488628,-7.263762,-5.430442,-3.947159,-5.930737,-8.221416,-6.304647,-14.66352,-31.67657,-34.82646,-3.012064,-15.90309,-5.135496,-13.89669,-7.275467,-7.48603,-7.193472,-3.053175,-4.620974,-10.65019,0.2252462,-15.40312,-4.130295,-14.79272,-11.22558,-15.26613,-6.200547,-14.89579,-9.104919,-30.44861,-8.478226,-6.919603,-9.520062,-13.99115,-11.9704,-4.878128,-3.040266,-0.5158927,-4.547919,-9.837143,-10.06295,-7.95098,-9.984791,7.743838,7.311775,2.964497,5.596669,8.138093,6.651932,Medina County,Texas
48327,Menard County,TX,48327,4,-6.007562,-13.61776,-13.37769,-14.97566,-31.70556,-17.81165,-16.71154,-6.07533,-16.20211,-5.415289,-17.01649,-7.272316,-20.7632,-16.67847,-17.94277,-11.12983,-13.54841,-0.2170648,-27.31621,-10.25472,-10.91676,0.4966705,-12.07155,-15.8995,-11.69522,-2.669685,-16.31827,-9.740814,-8.545266,-10.21325,-6.099833,-12.50818,-2.820162,-9.925813,-15.2634,-19.65593,-18.40849,-18.30378,-9.401207,-8.141994,-6.245156,-6.667658,-6.981833,-10.00493,-8.660382,-15.12996,-31.67657,-34.82646,-4.723769,-15.91243,-6.817365,-14.03309,-7.643012,-7.535753,-7.195295,-5.283426,-6.363774,-12.90028,0.2216387,-14.07993,-6.372034,-18.04701,-14.22249,-20.15372,-7.203135,-15.59781,-9.17128,-30.44861,-8.52327,-7.708741,-11.32198,-13.9981,-15.36005,-6.095251,-3.479092,-2.43087,-4.709093,-12.01509,-12.75752,-9.662989,-12.27374,4.664685,6.928415,2.424001,4.860047,7.20945,5.738626,Menard County,Texas
48329,Midland County,TX,48329,1,-3.973625,-10.56197,-13.6103,-6.700615,-31.70556,-14.49881,-9.902411,-6.337892,-10.61288,-3.665042,-14.32717,-6.62129,-11.49785,-17.96231,-9.560208,-10.84503,-6.55517,-0.2170712,-27.31621,-10.15464,-6.47972,0.4969867,-9.352872,-11.4785,-8.294771,-2.431946,-11.89378,-7.978398,-6.506067,-6.63365,-3.516618,-8.180492,-0.7710637,-6.213929,-11.72583,-14.67238,-13.42051,-14.4064,-5.945863,-5.069993,-4.32037,-2.837306,-6.07814,-7.305851,-4.966362,-15.40494,-31.67657,-34.82646,-1.373343,-15.86187,-3.984508,-10.36848,-6.774198,-7.474621,-7.190127,-1.76173,-2.362171,-8.680377,0.2578361,-27.10555,-3.129282,-13.05545,-9.190155,-14.73247,-5.642989,-20.49271,-9.540288,-30.44861,-8.568048,-5.065948,-8.323647,-13.96567,-10.78354,-2.879261,-2.087167,0.7463291,-3.828137,-8.652818,-5.923939,-4.238326,-8.556087,4.081773,6.144127,1.789374,4.976217,7.505467,5.387348,Midland County,Texas
48331,Milam County,TX,48331,3,-5.087042,-11.77152,-10.85619,-8.297457,-14.89637,-16.03186,-11.81139,-5.636124,-11.69083,-4.390697,-18.87379,-5.673097,-13.96657,-15.43948,-10.63384,-9.616766,-11.82537,-0.2168155,-13.17871,-10.05689,-8.290545,0.4968872,-1.587221,-6.009676,-10.00959,-2.635911,-12.375,-7.087293,-7.353528,-8.555458,-4.514708,-9.160136,-1.236888,-7.986695,-13.31804,-12.95756,-15.99876,-15.02727,-7.518297,-7.258541,-4.570083,-4.341135,-4.74906,-8.501188,-5.506832,-14.62879,-31.67657,-34.82646,-2.952602,-15.01777,-2.946182,-10.59696,-7.137867,-5.466869,-7.184239,-2.695894,-2.646824,-10.50373,0.2252037,-11.71529,-3.68727,-15.66165,-11.79813,-15.30314,-5.226521,-14.28373,-9.571509,-30.44861,-8.410934,-6.084212,-8.730103,-12.22144,-5.684644,-4.539797,-3.042753,-0.516154,-4.044858,-10.18957,-10.76669,-8.219706,-10.52125,7.256926,8.969824,5.941508,6.432061,8.298351,7.065434,Milam County,Texas
48333,Mills County,TX,48333,4,-6.008587,-13.89441,-12.47348,-12.39493,-31.70556,-18.09066,-15.69631,-5.555525,-15.82428,-4.985291,-15.54261,-6.908259,-21.28372,-14.84553,-18.4513,-10.98677,-13.87669,-0.2168974,-27.31621,-10.24595,-11.47579,0.4966696,-12.68579,-30.69147,-12.21097,-2.679485,-17.45748,-9.735568,-8.887737,-10.84636,-6.489126,-12.36696,-2.215245,-10.18185,-15.44158,-20.16759,-18.92949,-20.09037,-9.651504,-7.948952,-5.935743,-6.648051,-6.330592,-10.62061,-7.447765,-15.36788,-31.67657,-34.82646,-4.951748,-15.91289,-7.026835,-10.14402,-7.643651,-7.535405,-7.195332,-4.210593,-5.989715,-9.475858,0.2220175,-27.10555,-6.992598,-18.57435,-14.83909,-20.81182,-7.122595,-15.85958,-9.33183,-17.33127,-8.533832,-7.685792,-11.36366,-14.0005,-15.14184,-5.665169,-3.459651,-2.440511,-4.403463,-11.66299,-12.75065,-10.33806,-12.87557,4.975628,7.542998,3.704922,5.619498,7.577899,6.433169,Mills County,Texas
48335,Mitchell County,TX,48335,3,-6.015004,-14.35419,-13.59232,-12.56256,-31.70556,-18.15063,-15.7481,-7.225631,-15.88817,-5.769227,-19.35637,-7.400681,-15.14658,-14.96893,-18.05195,-10.9982,-14.87057,-0.217081,-27.31621,-10.24369,-8.763414,0.4966698,-10.34941,-7.810356,-12.54858,-2.672789,-16.95701,-9.731712,-8.54489,-10.79925,-6.994524,-13.09087,-2.56854,-10.31103,-15.56038,-19.57408,-18.32961,-19.4405,-9.802088,-8.880261,-6.355593,-6.9172,-7.310163,-11.08539,-8.79103,-15.93826,-31.67657,-34.82646,-4.613587,-15.91282,-7.1801,-17.43924,-7.596075,-7.534311,-7.194872,-5.372924,-6.553421,-13.24448,0.2205893,-27.10555,-6.846946,-17.97075,-14.18555,-20.36494,-8.486942,-17.45967,-9.621476,-17.02041,-8.560842,-7.716974,-11.57864,-14.00027,-14.81916,-7.375363,-3.142648,-0.9734342,-4.797878,-12.34074,-13.04046,-10.80999,-13.00016,4.254041,6.836151,1.841706,5.0537,7.387527,5.427906,Mitchell County,Texas
